TopicName,BertieTag,Description,IsTrending,IsAsset,IsFeaturedHome,Slug,TopicURl,TopicOrder,TitleTemplate,TopicPageDescription,NewsHeader,AliasesName,HasArticles
Bitcoin,Bitcoin,,False,True,False,bitcoin-btc,news/bitcoin-btc,0,Latest Bitcoin News | Forbes Digital Assets,,Bitcoin,Bitcoin,True
Ethereum,Ethereum,,False,True,False,ethereum-eth,news/ethereum-eth,0,Latest Ethereum News | Forbes Digital Assets,,Ethereum,Ethereum,True
Tether,Tether,,False,True,False,tether-usdt,news/tether-usdt,0,Latest Tether News | Forbes Digital Assets,,Tether,Tether,True
BNB,BNB,,False,True,False,bnb-bnb,news/bnb-bnb,0,Latest BNB News | Forbes Digital Assets,,BNB,BNB,True
Solana,Solana,,False,True,False,solana-sol,news/solana-sol,0,Latest Solana News | Forbes Digital Assets,,Solana,Solana,True
XRP,XRP,,False,True,False,xrp-xrp,news/xrp-xrp,0,Latest XRP News | Forbes Digital Assets,,XRP,XRP,True
USDC,USDC,,False,True,False,usdc-usdc,news/usdc-usdc,0,Latest USDC News | Forbes Digital Assets,,USDC,USDC,True
Lido Staked Ether,Lido Staked Ether,,False,True,False,lido-staked-ether-steth,news/lido-staked-ether-steth,0,Latest Lido Staked Ether News | Forbes Digital Assets,,Lido Staked Ether,Lido Staked Ether,False
Cardano,Cardano,,False,True,False,cardano-ada,news/cardano-ada,0,Latest Cardano News | Forbes Digital Assets,,Cardano,Cardano,True
Avalanche,Avalanche,,False,True,False,avalanche-avax,news/avalanche-avax,0,Latest Avalanche News | Forbes Digital Assets,,Avalanche,Avalanche,True
Chainlink,Chainlink,,False,True,False,chainlink-link,news/chainlink-link,0,Latest Chainlink News | Forbes Digital Assets,,Chainlink,Chainlink,True
Dogecoin,Dogecoin,,False,True,False,dogecoin-doge,news/dogecoin-doge,0,Latest Dogecoin News | Forbes Digital Assets,,Dogecoin,Dogecoin,True
TRON,TRON,,False,True,False,tron-trx,news/tron-trx,0,Latest TRON News | Forbes Digital Assets,,TRON,TRON,True
Polkadot,Polkadot,,False,True,False,polkadot-dot,news/polkadot-dot,0,Latest Polkadot News | Forbes Digital Assets,,Polkadot,Polkadot,True
Polygon,Polygon,,False,True,False,polygon-matic,news/polygon-matic,0,Latest Polygon News | Forbes Digital Assets,,Polygon,Polygon,True
Wrapped Bitcoin,Wrapped Bitcoin,,False,True,False,wrapped-bitcoin-wbtc,news/wrapped-bitcoin-wbtc,0,Latest Wrapped Bitcoin News | Forbes Digital Assets,,Wrapped Bitcoin,Wrapped Bitcoin,False
Toncoin,Toncoin,,False,True,False,toncoin-ton,news/toncoin-ton,0,Latest Toncoin News | Forbes Digital Assets,,Toncoin,Toncoin,False
Internet Computer,Internet Computer,,False,True,False,internet-computer-icp,news/internet-computer-icp,0,Latest Internet Computer News | Forbes Digital Assets,,Internet Computer,Internet Computer,False
Shiba Inu,Shiba Inu,,False,True,False,shiba-inu-shib,news/shiba-inu-shib,0,Latest Shiba Inu News | Forbes Digital Assets,,Shiba Inu,Shiba Inu,False
Bitcoin Cash,Bitcoin Cash,,False,True,False,bitcoin-cash-bch,news/bitcoin-cash-bch,0,Latest Bitcoin Cash News | Forbes Digital Assets,,Bitcoin Cash,Bitcoin Cash,False
Litecoin,Litecoin,,False,True,False,litecoin-ltc,news/litecoin-ltc,0,Latest Litecoin News | Forbes Digital Assets,,Litecoin,Litecoin,True
Uniswap,Uniswap,,False,True,False,uniswap-uni,news/uniswap-uni,0,Latest Uniswap News | Forbes Digital Assets,,Uniswap,Uniswap,True
Dai,Dai,,False,True,False,dai-dai,news/dai-dai,0,Latest Dai News | Forbes Digital Assets,,Dai,Dai,True
LEO Token,LEO Token,,False,True,False,leo-token-leo,news/leo-token-leo,0,Latest LEO Token News | Forbes Digital Assets,,LEO Token,LEO Token,False
Immutable,Immutable,,False,True,False,immutable-imx,news/immutable-imx,0,Latest Immutable News | Forbes Digital Assets,,Immutable,Immutable,False
Cosmos Hub,Cosmos Hub,,False,True,False,cosmos-hub-atom,news/cosmos-hub-atom,0,Latest Cosmos Hub News | Forbes Digital Assets,,Cosmos Hub,Cosmos Hub,False
Ethereum Classic,Ethereum Classic,,False,True,False,ethereum-classic-etc,news/ethereum-classic-etc,0,Latest Ethereum Classic News | Forbes Digital Assets,,Ethereum Classic,Ethereum Classic,False
Bittensor,Bittensor,,False,True,False,bittensor-tao,news/bittensor-tao,0,Latest Bittensor News | Forbes Digital Assets,,Bittensor,Bittensor,False
Optimism,Optimism,,False,True,False,optimism-op,news/optimism-op,0,Latest Optimism News | Forbes Digital Assets,,Optimism,Optimism,True
NEAR Protocol,NEAR Protocol,,False,True,False,near-protocol-near,news/near-protocol-near,0,Latest NEAR Protocol News | Forbes Digital Assets,,NEAR Protocol,NEAR Protocol,False
Celestia,Celestia,,False,True,False,celestia-tia,news/celestia-tia,0,Latest Celestia News | Forbes Digital Assets,,Celestia,Celestia,False
Kaspa,Kaspa,,False,True,False,kaspa-kas,news/kaspa-kas,0,Latest Kaspa News | Forbes Digital Assets,,Kaspa,Kaspa,False
Stellar,Stellar,,False,True,False,stellar-xlm,news/stellar-xlm,0,Latest Stellar News | Forbes Digital Assets,,Stellar,Stellar,False
Injective,Injective,,False,True,False,injective-inj,news/injective-inj,0,Latest Injective News | Forbes Digital Assets,,Injective,Injective,False
Aptos,Aptos,,False,True,False,aptos-apt,news/aptos-apt,0,Latest Aptos News | Forbes Digital Assets,,Aptos,Aptos,True
OKB,OKB,,False,True,False,okb-okb,news/okb-okb,0,Latest OKB News | Forbes Digital Assets,,OKB,OKB,True
First Digital USD,First Digital USD,,False,True,False,first-digital-usd-fdusd,news/first-digital-usd-fdusd,0,Latest First Digital USD News | Forbes Digital Assets,,First Digital USD,First Digital USD,False
Filecoin,Filecoin,,False,True,False,filecoin-fil,news/filecoin-fil,0,Latest Filecoin News | Forbes Digital Assets,,Filecoin,Filecoin,True
Stacks,Stacks,,False,True,False,stacks-stx,news/stacks-stx,0,Latest Stacks News | Forbes Digital Assets,,Stacks,Stacks,False
Hedera,Hedera,,False,True,False,hedera-hbar,news/hedera-hbar,0,Latest Hedera News | Forbes Digital Assets,,Hedera,Hedera,True
Lido DAO,Lido DAO,,False,True,False,lido-dao-ldo,news/lido-dao-ldo,0,Latest Lido DAO News | Forbes Digital Assets,,Lido DAO,Lido DAO,False
Arbitrum,Arbitrum,,False,True,False,arbitrum-arb,news/arbitrum-arb,0,Latest Arbitrum News | Forbes Digital Assets,,Arbitrum,Arbitrum,False
Cronos,Cronos,,False,True,False,cronos-cro,news/cronos-cro,0,Latest Cronos News | Forbes Digital Assets,,Cronos,Cronos,False
VeChain,VeChain,,False,True,False,vechain-vet,news/vechain-vet,0,Latest VeChain News | Forbes Digital Assets,,VeChain,VeChain,True
Monero,Monero,,False,True,False,monero-xmr,news/monero-xmr,0,Latest Monero News | Forbes Digital Assets,,Monero,Monero,False
Mantle,Mantle,,False,True,False,mantle-mnt,news/mantle-mnt,0,Latest Mantle News | Forbes Digital Assets,,Mantle,Mantle,False
Sui,Sui,,False,True,False,sui-sui,news/sui-sui,0,Latest Sui News | Forbes Digital Assets,,Sui,Sui,False
Maker,Maker,,False,True,False,maker-mkr,news/maker-mkr,0,Latest Maker News | Forbes Digital Assets,,Maker,Maker,False
Render,Render,,False,True,False,render-rndr,news/render-rndr,0,Latest Render News | Forbes Digital Assets,,Render,Render,False
Sei,Sei,,False,True,False,sei-sei,news/sei-sei,0,Latest Sei News | Forbes Digital Assets,,Sei,Sei,False
Bitcoin SV,Bitcoin SV,,False,True,False,bitcoin-sv-bsv,news/bitcoin-sv-bsv,0,Latest Bitcoin SV News | Forbes Digital Assets,,Bitcoin SV,Bitcoin SV,False
The Graph,The Graph,,False,True,False,the-graph-grt,news/the-graph-grt,0,Latest The Graph News | Forbes Digital Assets,,The Graph,The Graph,False
THORChain,THORChain,,False,True,False,thorchain-rune,news/thorchain-rune,0,Latest THORChain News | Forbes Digital Assets,,THORChain,THORChain,False
Rocket Pool ETH,Rocket Pool ETH,,False,True,False,rocket-pool-eth-reth,news/rocket-pool-eth-reth,0,Latest Rocket Pool ETH News | Forbes Digital Assets,,Rocket Pool ETH,Rocket Pool ETH,False
Quant,Quant,,False,True,False,quant-qnt,news/quant-qnt,0,Latest Quant News | Forbes Digital Assets,,Quant,Quant,False
MultiversX,MultiversX,,False,True,False,multiversx-egld,news/multiversx-egld,0,Latest MultiversX News | Forbes Digital Assets,,MultiversX,MultiversX,False
TrueUSD,TrueUSD,,False,True,False,Trueusd-tusd,news/Trueusd-tusd,0,Latest TrueUSD News | Forbes Digital Assets,,TrueUSD,TrueUSD,True
Mina Protocol,Mina Protocol,,False,True,False,mina-protocol-mina,news/mina-protocol-mina,0,Latest Mina Protocol News | Forbes Digital Assets,,Mina Protocol,Mina Protocol,False
Algorand,Algorand,,False,True,False,algorand-algo,news/algorand-algo,0,Latest Algorand News | Forbes Digital Assets,,Algorand,Algorand,True
ORDI,ORDI,,False,True,False,ordi-ordi,news/ordi-ordi,0,Latest ORDI News | Forbes Digital Assets,,ORDI,ORDI,False
Aave,Aave,,False,True,False,aave-aave,news/aave-aave,0,Latest Aave News | Forbes Digital Assets,,Aave,Aave,False
Beam,Beam,,False,True,False,beam-beam,news/beam-beam,0,Latest Beam News | Forbes Digital Assets,,Beam,Beam,False
Tokenize Xchange,Tokenize Xchange,,False,True,False,tokenize-xchange-tkx,news/tokenize-xchange-tkx,0,Latest Tokenize Xchange News | Forbes Digital Assets,,Tokenize Xchange,Tokenize Xchange,False
dYdX,dYdX,,False,True,False,dydx-dydx,news/dydx-dydx,0,Latest dYdX News | Forbes Digital Assets,,dYdX,dYdX,False
Flow,Flow,,False,True,False,flow-flow,news/flow-flow,0,Latest Flow News | Forbes Digital Assets,,Flow,Flow,False
Mantle Staked Ether,Mantle Staked Ether,,False,True,False,mantle-staked-ether-meth,news/mantle-staked-ether-meth,0,Latest Mantle Staked Ether News | Forbes Digital Assets,,Mantle Staked Ether,Mantle Staked Ether,False
Helium,Helium,,False,True,False,helium-hnt,news/helium-hnt,0,Latest Helium News | Forbes Digital Assets,,Helium,Helium,False
Synthetix Network,Synthetix Network,,False,True,False,synthetix-network-snx,news/synthetix-network-snx,0,Latest Synthetix Network News | Forbes Digital Assets,,Synthetix Network,Synthetix Network,False
Flare,Flare,,False,True,False,flare-flr,news/flare-flr,0,Latest Flare News | Forbes Digital Assets,,Flare,Flare,False
Fantom,Fantom,,False,True,False,fantom-ftm,news/fantom-ftm,0,Latest Fantom News | Forbes Digital Assets,,Fantom,Fantom,False
Dymension,Dymension,,False,True,False,dymension-dym,news/dymension-dym,0,Latest Dymension News | Forbes Digital Assets,,Dymension,Dymension,False
The Sandbox,The Sandbox,,False,True,False,the-sandbox-sand,news/the-sandbox-sand,0,Latest The Sandbox News | Forbes Digital Assets,,The Sandbox,The Sandbox,False
Osmosis,Osmosis,,False,True,False,osmosis-osmo,news/osmosis-osmo,0,Latest Osmosis News | Forbes Digital Assets,,Osmosis,Osmosis,False
Axie Infinity,Axie Infinity,,False,True,False,axie-infinity-axs,news/axie-infinity-axs,0,Latest Axie Infinity News | Forbes Digital Assets,,Axie Infinity,Axie Infinity,False
Astar,Astar,,False,True,False,astar-astr,news/astar-astr,0,Latest Astar News | Forbes Digital Assets,,Astar,Astar,False
